month,site,job_family,open_positions,time_to_fill_days,offer_acceptance_rate
2024-02-01,BERLIN,IT,28,291,0.786463670080685
2024-07-01,BERLIN,IT ,40,180,1.222544456756849
2023-07-01,Berlin,Operations,20,25,0.3017337377227416
2025-03-01,PARIS,HR,39,137,0.2859926438138394
2025-06-01,Lyon,IT,11,97,0.35352473778237775
2024-01-01,Lyon,HR,15,126,1.3139466080367912
2025-09-01,BERLIN,IT,42,43,0.46741396634864574
2025-10-01,BERLIN,HR,25,-2,1.6074775066555813
2025-12-01,Berlin,finance,29,237,0.12080777852165706
2025-12-01,PARIS,IT ,22,91,1.0868952597219803
2024-12-01,lyon,IT ,32,45,1.355216633472718
2025-10-01,Berlin,Operations,23,113,0.9350368856273749
2025-09-01,Madrid,IT ,5,39,0.014364687744917403
2025-01-01,BERLIN,HR,45,40,1.580855517733663
2024-10-01,Madrid,Operations,33,60,1.0576662777696466
2023-11-01,Lyon,HR,18,249,1.6425536111245418
2023-01-01,Paris,Finance,22,202,0.40900270074714423
2025-04-01,Berlin,Operations,24,-8,0.7304174666666922
2025-01-01,BERLIN,Operations,28,243,0.6028747933308083
2024-04-01,Lyon,IT,15,196,1.3131061894179725
2023-09-01,BERLIN,finance,1,285,0.8284557384304534
2024-09-01,Berlin,HR,28,245,0.532273405225164
2024-02-01,lyon,HR,32,187,0.2626686102297342
2025-09-01,Berlin,HR,17,74,0.7864006185270906
2024-09-01,Lyon,IT ,43,97,1.5729361463543254
2024-09-01,lyon,IT,8,146,0.8985578684605366
2023-02-01,lyon,IT,1,10,0.12033339307017303
2024-07-01,Paris,HR,4,94,1.2581332103827263
2024-08-01,PARIS,IT ,49,28,1.2371760401837557
2023-03-01,Paris,HR,19,178,0.06445043162757375
2025-11-01,Paris,IT ,3,94,1.0545407440679566
2024-07-01,Berlin,finance,4,7,1.59704196239414
2024-03-01,PARIS,Finance,16,197,1.4197648407553898
2024-06-01,PARIS,IT,4,71,1.6164304891672263
2024-10-01,PARIS,Finance,49,120,0.20493301061703556
2025-05-01,Paris,Operations,7,260,0.35860403437615074
2024-05-01,Lyon,IT,31,172,0.3637260053564692
2023-11-01,Lyon,Finance,24,196,1.5530998838298138
2023-02-01,BERLIN,Finance,24,59,0.5847245147203975
2023-10-01,Paris,Operations,24,263,0.678915005875001
2024-10-01,PARIS,IT ,41,116,1.4834521201232562
2024-05-01,Paris,finance,30,147,1.0726936560904965
2025-02-01,BERLIN,finance,27,136,0.666996118701505
2023-03-01,Lyon,finance,46,77,0.12389292261349467
2024-10-01,PARIS,Operations,14,295,0.06807461551143251
2024-08-01,Paris,IT ,42,235,0.5308748052445951
2025-11-01,Lyon,finance,26,134,0.4986209988101308
2024-03-01,PARIS,Operations,38,272,1.1253664204458398
2023-10-01,BERLIN,IT,13,204,0.7588490569741158
2025-09-01,PARIS,finance,12,143,1.1599313765840062
2024-11-01,Madrid,Finance,31,-5,0.5644965736981549
2023-06-01,PARIS,Finance,43,35,1.5587211507594665
2025-07-01,Lyon,IT ,34,75,0.16181990511566938
2025-02-01,Lyon,Operations,47,30,0.8489642825256708
2024-01-01,lyon,HR,43,218,1.5503309707204054
2024-04-01,Berlin,IT,13,76,1.1621481786091434
2025-12-01,Lyon,HR,43,112,0.1278508005481361
2025-05-01,BERLIN,Finance,35,78,1.4567738891801965
2024-11-01,Lyon,finance,38,91,0.398794901129993
2023-12-01,Lyon,Operations,4,147,0.8720214869331725
2025-12-01,PARIS,IT ,46,222,0.5112649859207373
2025-01-01,lyon,IT ,7,140,0.7062307280933218
2024-12-01,Berlin,finance,9,226,1.6095443536305527
2025-03-01,lyon,finance,1,168,0.24254935375811362
2025-09-01,Paris,IT ,30,239,0.42722156897867314
2024-07-01,BERLIN,Finance,38,43,0.5675935661280669
2023-01-01,Paris,IT,24,71,1.1297447330763268
2025-05-01,lyon,HR,33,87,1.2994274914794979
2025-05-01,lyon,Finance,14,262,0.9181249518693104
2024-05-01,PARIS,Operations,41,97,1.012960023115041
2025-06-01,BERLIN,IT ,16,0,0.7951063474180584
2025-01-01,Lyon,Operations,21,19,0.5013315336968639
2025-09-01,Berlin,Finance,46,186,0.9902327160412231
2025-10-01,lyon,Operations,47,245,0.5510830047422484
2024-02-01,Berlin,HR,32,-1,0.7485118680214657
2025-02-01,Berlin,IT ,5,81,1.5213025087814842
2024-06-01,Madrid,HR,17,292,1.558986015456176
2024-08-01,PARIS,IT ,29,104,0.49864485978522793
2023-07-01,Paris,IT ,2,29,0.7052761786570628
2025-06-01,PARIS,Operations,30,168,1.4586507757876142
2025-05-01,lyon,Operations,11,228,1.5946082861464859
2023-02-01,Madrid,IT ,9,18,1.6988209037905195
2023-12-01,lyon,IT ,35,270,0.6939048664827043
2024-09-01,BERLIN,Operations,5,49,0.7073220358422928
2023-10-01,Berlin,Operations,30,226,0.9506271918609218
2025-10-01,Paris,Finance,35,124,0.2740827288806356
2025-09-01,BERLIN,Operations,32,243,1.186802831141314
2023-06-01,PARIS,HR,9,-17,1.359802052364619
2024-09-01,Paris,Finance,37,23,1.399383825787291
2025-04-01,lyon,finance,25,-14,0.011435622363961461
2023-09-01,lyon,HR,15,108,1.6653119878087221
2024-09-01,PARIS,Finance,23,170,0.9955462078177747
2023-10-01,lyon,Finance,40,0,0.015636026904012133
2025-05-01,BERLIN,IT ,23,285,1.1326683662919075
2024-04-01,Lyon,Finance,8,34,0.5074364823956081
2024-07-01,PARIS,finance,24,270,0.3854184560600201
2025-08-01,Paris,IT,43,232,1.6904651292350972
2023-12-01,Madrid,Finance,22,169,0.048013437365943136
2024-12-01,Berlin,Finance,2,118,1.4785441141302862
2023-01-01,lyon,HR,31,230,1.6077389994977935
2025-09-01,Madrid,Finance,9,108,0.6223510896064365
2024-01-01,Paris,Operations,46,34,0.7923861900923869
2025-05-01,BERLIN,finance,34,213,1.0876017333166965
2023-02-01,Madrid,HR,21,66,0.039425748048019404
2023-11-01,PARIS,HR,13,99,1.1117578393870686
2023-11-01,BERLIN,HR,24,282,0.19366753457997052
2025-07-01,Berlin,HR,14,123,0.018450940905753
2023-05-01,BERLIN,Operations,29,173,0.10283385096800468
2023-03-01,Paris,HR,30,51,0.3716152130246133
2024-06-01,PARIS,finance,13,141,0.6886649264120975
2025-06-01,PARIS,HR,7,23,1.4988542742736122
2024-09-01,Madrid,Operations,7,122,0.7689019557503588
2023-11-01,Lyon,finance,30,245,0.6618122687881798
2024-01-01,PARIS,Finance,36,214,0.350488669206015
2024-01-01,PARIS,IT,36,47,1.6975205593496099
2023-03-01,Paris,Finance,2,17,1.1334199799936677
2024-04-01,Berlin,finance,32,162,0.7693073616603406
2025-02-01,BERLIN,Operations,11,203,0.5485318014424128
2024-02-01,Lyon,Finance,31,-1,0.8063738107688972
2023-04-01,lyon,HR,31,116,1.2841335739517497
2025-02-01,PARIS,Operations,20,294,0.5524361604019822
2024-03-01,Paris,Operations,42,243,0.4667173302850433
2024-09-01,Madrid,IT,9,248,0.3826859961211094
2024-01-01,Paris,IT,43,245,0.6453929686838474
2024-01-01,BERLIN,finance,40,38,0.05234601845847373
2024-06-01,Lyon,finance,41,265,1.268114113662951
2024-04-01,Paris,Finance,25,134,1.6219779278598339
2023-11-01,lyon,HR,12,98,1.538967093302465
2025-02-01,Madrid,IT,8,-15,1.3030186668756836
