month,team_id,skill_name,required_people_count,available_people_count
2023-06-01,142,Data,15,25
2024-04-01,124,Cloud,19,22
2025-05-01,186,Cloud,21,15
2024-06-01,245,Cyber,0,17
2025-08-01,278,Finance,14,18
2025-05-01,145,Finance,11,19
2024-05-01,286,AI,23,25
2023-05-01,266,Cloud,29,22
2025-08-01,177,AI,21,9
2025-05-01,211,Cyber,13,11
2025-05-01,185,Data,15,23
2023-03-01,265,Cloud,26,24
2023-04-01,282,Finance,15,13
2025-01-01,178,AI,20,21
2024-10-01,104,Data,23,22
2023-11-01,212,Finance,3,7
2023-08-01,232,Finance,1,6
2025-03-01,220,Cyber,20,12
2024-10-01,277,Finance,6,12
2023-03-01,141,Finance,4,6
2025-03-01,246,Finance,6,28
2023-11-01,261,Data,1,12
2025-03-01,152,Data,11,8
2023-07-01,120,Finance,0,27
2025-03-01,144,Cyber,2,25
2023-11-01,159,Finance,0,5
2025-01-01,280,Cloud,2,0
2024-04-01,118,Cloud,15,28
2024-09-01,134,AI,18,18
2025-02-01,181,Cloud,7,20
2025-03-01,113,AI,20,24
2024-05-01,185,AI,18,16
2025-07-01,202,AI,4,1
2024-02-01,111,AI,23,18
2024-11-01,276,Finance,25,28
2023-02-01,102,Data,26,10
2025-02-01,218,Cloud,25,27
2025-02-01,203,Cloud,0,3
2024-10-01,195,Cloud,22,21
2025-04-01,254,AI,12,22
2023-06-01,216,Cyber,4,22
2024-07-01,252,Data,19,1
2024-09-01,242,Cyber,18,2
2024-08-01,214,Cyber,27,16
2025-07-01,126,Cloud,6,12
2025-03-01,114,Cyber,27,16
2024-03-01,257,Finance,25,5
2025-07-01,286,Cyber,12,19
2023-09-01,272,Cyber,13,10
2024-05-01,280,Cloud,17,9
2024-07-01,177,Cyber,13,15
2025-08-01,144,AI,12,10
2023-10-01,191,Data,7,3
2023-05-01,299,Finance,28,24
2024-01-01,288,Data,19,23
2025-03-01,110,AI,25,18
2023-02-01,177,Cyber,17,2
2023-01-01,278,Cloud,13,23
2023-08-01,210,Data,28,14
2023-10-01,266,Cyber,1,14
2025-04-01,123,Data,10,13
2023-05-01,233,Cyber,14,28
2023-02-01,132,Cloud,9,17
2024-05-01,249,AI,16,9
2025-09-01,159,Data,25,4
2025-01-01,247,Finance,23,5
2023-05-01,110,AI,10,20
2025-04-01,214,Cloud,7,11
2024-06-01,134,Finance,21,0
2024-11-01,262,Cyber,1,20
2025-11-01,164,Data,2,11
2024-06-01,205,Finance,24,24
2023-11-01,189,AI,6,10
2023-10-01,276,Finance,13,28
2023-10-01,165,Cloud,11,9
2025-12-01,273,Finance,28,1
2023-09-01,232,Data,4,14
2024-01-01,266,Data,4,26
2024-11-01,178,Cyber,6,18
2023-01-01,278,Finance,0,21
2024-04-01,248,Finance,16,18
2024-07-01,265,Cloud,18,11
2023-12-01,263,Data,24,21
2023-05-01,113,AI,7,22
2023-05-01,260,Cyber,11,18
2023-07-01,122,Finance,2,3
2024-02-01,171,Cyber,11,28
2025-09-01,265,Finance,7,28
2023-06-01,146,Finance,3,11
2024-06-01,163,Cloud,6,21
2023-06-01,274,Finance,13,0
2025-06-01,100,Cyber,1,0
2023-12-01,141,Cyber,4,4
2025-11-01,167,Cloud,11,23
2023-11-01,124,Cloud,4,12
2023-04-01,215,Cyber,26,16
2024-01-01,211,Cyber,20,16
2023-01-01,284,Finance,24,27
2025-05-01,279,Data,12,0
2024-02-01,234,Cyber,24,25
2024-09-01,234,AI,1,16
2025-07-01,283,Data,9,24
2023-07-01,266,AI,11,1
2024-03-01,297,Data,24,21
2023-09-01,182,Cyber,15,10
2025-05-01,285,Cloud,16,29
2024-12-01,250,Cloud,20,17
2024-03-01,217,Cyber,14,13
2024-09-01,237,Data,25,12
2024-12-01,207,Cyber,0,4
2023-07-01,299,Data,2,20
2024-12-01,263,Cyber,25,10
2024-11-01,298,AI,11,26
2025-01-01,218,Cyber,27,12
2023-08-01,230,Data,21,15
2025-10-01,171,Finance,9,8
2025-11-01,176,Cloud,8,3
2024-10-01,240,Finance,3,21
2025-10-01,275,Cyber,1,3
2025-04-01,211,Data,20,10
2023-01-01,165,Cloud,0,5
2025-06-01,230,Cyber,9,18
2025-01-01,162,Finance,12,19
2023-02-01,114,Cloud,6,8
2025-04-01,229,Cyber,26,0
2025-04-01,288,Cloud,27,22
2024-11-01,286,AI,17,18
2024-12-01,244,Cloud,14,8
2025-11-01,110,AI,7,11
2023-08-01,104,Cloud,29,6
2025-12-01,169,Cloud,24,10
2024-06-01,166,Cloud,28,1
2024-08-01,122,AI,17,10
2023-04-01,195,Cyber,17,4
2023-08-01,162,Finance,12,15
2025-02-01,231,Cloud,29,14
2024-08-01,128,Finance,15,16
2024-06-01,244,Finance,9,16
2025-09-01,262,Cloud,24,22
2024-06-01,275,AI,11,15
2025-10-01,184,Data,7,11
2024-07-01,186,Data,22,22
2025-09-01,147,Data,0,10
2024-09-01,152,Cloud,8,7
2023-07-01,292,Finance,19,7
2024-02-01,216,Data,5,11
2025-09-01,100,Cloud,17,22
2023-04-01,234,Cloud,28,18
2023-02-01,176,Cloud,4,18
2025-07-01,217,AI,26,17
2025-06-01,183,Cyber,16,0
2023-10-01,297,AI,11,14
2024-09-01,129,Finance,4,15
2024-11-01,212,Cloud,11,23
2023-08-01,215,AI,23,28
2023-10-01,169,Data,4,21
2025-01-01,197,Cyber,6,20
2025-09-01,198,Cloud,11,16
2024-05-01,183,AI,23,27
2024-12-01,265,Data,0,20
2025-06-01,257,Data,23,25
2023-01-01,196,AI,26,7
2024-05-01,153,AI,10,23
2025-04-01,187,Finance,0,9
2024-01-01,243,Cloud,23,5
2023-10-01,203,Data,29,1
2023-01-01,115,Finance,14,28
2024-08-01,126,Data,29,1
2023-07-01,199,AI,25,17
2025-08-01,121,Data,1,23
2024-09-01,242,Data,19,11
2025-02-01,145,Cloud,16,23
2023-07-01,228,AI,0,7
2025-03-01,255,Data,19,0
2025-10-01,260,Cyber,27,12
2023-12-01,199,Finance,28,24
2023-12-01,242,Data,10,9
2024-03-01,156,Data,12,3
2024-08-01,169,Finance,3,8
2023-10-01,295,Data,3,6
2025-02-01,285,AI,7,18
2024-05-01,119,Data,3,28
2023-10-01,103,AI,14,25
2023-11-01,109,AI,20,9
2024-05-01,106,AI,10,2
2023-11-01,156,Finance,11,17
2024-03-01,233,AI,25,22
2023-04-01,154,Data,26,7
2025-01-01,258,Cloud,1,0
2025-12-01,163,AI,9,22
2025-07-01,263,Data,26,17
2025-05-01,190,Data,25,6
2025-07-01,112,Cyber,8,21
2023-09-01,174,Data,6,14
2023-01-01,216,Cyber,12,8
2023-03-01,172,Data,11,22
2023-04-01,299,AI,16,8
2024-07-01,288,Cyber,3,4
2024-10-01,109,Cyber,6,12
2023-08-01,293,Cyber,27,21
2025-01-01,251,AI,8,12
2023-04-01,198,Cloud,19,21
2024-02-01,261,AI,6,28
2023-05-01,277,Cloud,23,2
2025-05-01,174,AI,7,18
2024-09-01,215,Data,2,11
2024-03-01,228,AI,28,16
