month,site,job_family,team_id,headcount_actual,headcount_planned,voluntary_leavers,engagement_score_avg,training_hours_avg,absenteeism_rate,critical_skill_coverage_rate
2025-05-01,lyon,finance,262,146,45,47,140,37,-0.11833637888912811,0.3381358156697029
2024-03-01,Madrid,HR,136,41,31,50,137,44,-0.03780707644377157,0.6266278028013937
2023-08-01,lyon,finance,287,140,143,29,116,69,0.37271701319535594,1.0935321237649345
2024-09-01,lyon,HR,292,-5,166,54,88,56,-0.0326707368216444,0.8172813545664701
2024-07-01,BERLIN,IT ,243,153,0,43,94,20,0.09485579319012633,0.6574531484430751
2024-11-01,Paris,Operations,129,174,184,54,22,15,0.25669883744836924,0.7163015420688554
2023-11-01,BERLIN,Operations,141,150,19,45,9,55,0.3575113802296969,1.112229852579745
2023-11-01,PARIS,HR,160,38,169,30,122,19,0.1630540055615246,0.05153465200820234
2024-12-01,Madrid,IT,147,158,71,33,37,66,0.030566441651772136,0.6639464055353625
2025-12-01,lyon,HR,289,69,161,27,27,67,0.39130519003621417,0.8590547336537613
2024-12-01,BERLIN,HR,183,172,177,9,124,-10,-0.1843024249135357,0.8830700421934237
2023-03-01,BERLIN,Operations,192,87,10,3,2,59,0.2993038998679153,0.9280306570965401
2024-10-01,Madrid,Finance,291,96,106,32,106,11,-0.03354210838720775,0.08017409304831091
2023-02-01,Madrid,IT,284,143,42,55,27,64,0.2904710876043013,0.8369218638456242
2024-12-01,lyon,Operations,167,26,9,57,140,76,-0.10269987304002086,0.8258241034378356
2025-06-01,Berlin,finance,145,194,7,57,84,43,0.008091049022316027,1.2822807782739583
2023-02-01,Lyon,HR,212,105,199,56,143,3,-0.1664172038828956,1.1401156328320292
2024-09-01,PARIS,Finance,127,6,18,16,110,3,-0.08022664634938093,0.04684000014440809
2025-09-01,PARIS,IT,176,21,192,10,14,73,0.16167540183291607,0.833873046023916
2023-12-01,Berlin,IT ,220,145,54,6,117,60,0.256901233811245,1.0364161528760516
2024-10-01,Paris,IT,102,14,179,16,126,8,0.34673607656592037,0.8702148427564325
2025-01-01,Berlin,IT,136,164,2,27,30,15,-0.1281886779447138,1.0145538263908376
2025-03-01,Paris,HR,275,11,52,16,92,48,-0.11565628862439378,0.17498397722842002
2025-04-01,Paris,HR,246,50,43,40,71,11,0.3632653307716707,0.2538628070170069
2024-04-01,Berlin,IT ,191,115,95,9,120,-5,0.25958479559378556,0.8741058519731667
